#Release 14.2 - par P.28xd (nt64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Sun May 15 16:52:36 2016

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc3s700a
#SPEED GRADE:      -4
#PACKAGE:          fg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A1,,,GND,,,,,,,,,,,,
A2,,DIFFSTB,IO_L36N_0/PUDC_B,UNUSED,,0,,,,,,,,,
A3,,DIFFMTB,IO_L33P_0,UNUSED,,0,,,,,,,,,
A4,,DIFFMTB,IO_L31P_0,UNUSED,,0,,,,,,,,,
A5,,DIFFSTB,IO_L28N_0,UNUSED,,0,,,,,,,,,
A6,,DIFFSTB,IO_L26N_0,UNUSED,,0,,,,,,,,,
A7,,DIFFMTB,IO_L26P_0,UNUSED,,0,,,,,,,,,
A8,,DIFFSTB,IO_L22N_0,UNUSED,,0,,,,,,,,,
A9,,DIFFMTB,IO_L22P_0,UNUSED,,0,,,,,,,,,
A10,,DIFFMTB,IO_L21P_0,UNUSED,,0,,,,,,,,,
A11,,DIFFSTB,IO_L18N_0/GCLK7,UNUSED,,0,,,,,,,,,
A12,,DIFFMTB,IO_L18P_0/GCLK6,UNUSED,,0,,,,,,,,,
A13,,DIFFSTB,IO_L16N_0,UNUSED,,0,,,,,,,,,
A14,,DIFFSTB,IO_L13N_0,UNUSED,,0,,,,,,,,,
A15,,DIFFSTB,IO_L12N_0/VREF_0,UNUSED,,0,,,,,,,,,
A16,,DIFFMTB,IO_L12P_0,UNUSED,,0,,,,,,,,,
A17,,DIFFSTB,IO_L10N_0,UNUSED,,0,,,,,,,,,
A18,,DIFFSTB,IO_L05N_0,UNUSED,,0,,,,,,,,,
A19,,DIFFSTB,IO_L06N_0,UNUSED,,0,,,,,,,,,
A20,,DIFFSTB,IO_L03N_0,UNUSED,,0,,,,,,,,,
A21,,,TCK,,,,,,,,,,,,
A22,,,GND,,,,,,,,,,,,
AA1,,DIFFMLR,IO_L45P_3,UNUSED,,3,,,,,,,,,
AA2,,DIFFSLR,IO_L45N_3,UNUSED,,3,,,,,,,,,
AA3,,DIFFSTB,IO_L03N_2,UNUSED,,2,,,,,,,,,
AA4,,DIFFSTB,IO_L04N_2,UNUSED,,2,,,,,,,,,
AA5,,,VCCO_2,,,2,,,,,any******,,,,
AA6,,DIFFMTB,IO_L08P_2,UNUSED,,2,,,,,,,,,
AA7,,,GND,,,,,,,,,,,,
AA8,,DIFFMTB,IO_L12P_2,UNUSED,,2,,,,,,,,,
AA9,,,VCCO_2,,,2,,,,,any******,,,,
AA10,,DIFFMTB,IO_L15P_2,UNUSED,,2,,,,,,,,,
AA11,,,GND,,,,,,,,,,,,
AA12,,DIFFMTB,IO_L19P_2/GCLK0,UNUSED,,2,,,,,,,,,
AA13,,,VCCO_2,,,2,,,,,any******,,,,
AA14,,DIFFMTB,IO_L22P_2,UNUSED,,2,,,,,,,,,
AA15,,DIFFSTB,IO_L24N_2/DOUT,UNUSED,,2,,,,,,,,,
AA16,,,GND,,,,,,,,,,,,
AA17,,DIFFMTB,IO_L28P_2/D2,UNUSED,,2,,,,,,,,,
AA18,,,VCCO_2,,,2,,,,,any******,,,,
AA19,,DIFFSTB,IO_L32N_2,UNUSED,,2,,,,,,,,,
AA20,,DIFFSTB,IO_L36N_2/CCLK,UNUSED,,2,,,,,,,,,
AA21,,DIFFSTB,IO_L35N_2,UNUSED,,2,,,,,,,,,
AA22,,DIFFMLR,IO_L01P_1/HDC,UNUSED,,1,,,,,,,,,
AB1,,,GND,,,,,,,,,,,,
AB2,,DIFFMTB,IO_L03P_2,UNUSED,,2,,,,,,,,,
AB3,,DIFFMTB,IO_L04P_2,UNUSED,,2,,,,,,,,,
AB4,,DIFFMTB,IO_L06P_2,UNUSED,,2,,,,,,,,,
AB5,,DIFFSTB,IO_L06N_2,UNUSED,,2,,,,,,,,,
AB6,,DIFFSTB,IO_L08N_2,UNUSED,,2,,,,,,,,,
AB7,,DIFFSTB,IO_L10N_2,UNUSED,,2,,,,,,,,,
AB8,,DIFFSTB,IO_L12N_2,UNUSED,,2,,,,,,,,,
AB9,,DIFFSTB,IO_L14N_2/D6,UNUSED,,2,,,,,,,,,
AB10,,DIFFSTB,IO_L15N_2,UNUSED,,2,,,,,,,,,
AB11,,DIFFSTB,IO_L16N_2/D4,UNUSED,,2,,,,,,,,,
AB12,,DIFFSTB,IO_L19N_2/GCLK1,UNUSED,,2,,,,,,,,,
AB13,,DIFFMTB,IO_L21P_2,UNUSED,,2,,,,,,,,,
AB14,,DIFFSTB,IO_L22N_2/MOSI/CSI_B,UNUSED,,2,,,,,,,,,
AB15,,DIFFMTB,IO_L24P_2/AWAKE,UNUSED,,2,,,,,,,,,
AB16,,DIFFMTB,IO_L27P_2,UNUSED,,2,,,,,,,,,
AB17,,DIFFMTB,IO_L29P_2,UNUSED,,2,,,,,,,,,
AB18,,DIFFSTB,IO_L29N_2,UNUSED,,2,,,,,,,,,
AB19,,DIFFMTB,IO_L32P_2,UNUSED,,2,,,,,,,,,
AB20,,DIFFMTB,IO_L36P_2/D0/DIN/MISO,UNUSED,,2,,,,,,,,,
AB21,,DIFFMTB,IO_L35P_2,UNUSED,,2,,,,,,,,,
AB22,,,GND,,,,,,,,,,,,
B1,,DIFFMLR,IO_L02P_3,UNUSED,,3,,,,,,,,,
B2,,DIFFMTB,IO_L36P_0/VREF_0,UNUSED,,0,,,,,,,,,
B3,,DIFFSTB,IO_L33N_0,UNUSED,,0,,,,,,,,,
B4,,DIFFSTB,IO_L31N_0,UNUSED,,0,,,,,,,,,
B5,,,VCCO_0,,,0,,,,,any******,,,,
B6,,DIFFMTB,IO_L28P_0,UNUSED,,0,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,DIFFMTB,IO_L25P_0,UNUSED,,0,,,,,,,,,
B9,,DIFFMTB,IO_L24P_0,UNUSED,,0,,,,,,,,,
B10,,,VCCO_0,,,0,,,,,any******,,,,
B11,,DIFFMTB,IO_L19P_0/GCLK8,UNUSED,,0,,,,,,,,,
B12,,,GND,,,,,,,,,,,,
B13,,DIFFMTB,IO_L16P_0,UNUSED,,0,,,,,,,,,
B14,,,VCCO_0,,,0,,,,,any******,,,,
B15,,DIFFMTB,IO_L13P_0,UNUSED,,0,,,,,,,,,
B16,,,GND,,,,,,,,,,,,
B17,,DIFFMTB,IO_L10P_0,UNUSED,,0,,,,,,,,,
B18,,,VCCO_0,,,0,,,,,any******,,,,
B19,,DIFFMTB,IO_L06P_0/VREF_0,UNUSED,,0,,,,,,,,,
B20,,DIFFMTB,IO_L03P_0,UNUSED,,0,,,,,,,,,
B21,,DIFFSLR,IO_L45N_1/A23,UNUSED,,1,,,,,,,,,
B22,boot,IBUF,IO_L45P_1/A22,INPUT,LVCMOS25*,1,,,,IBUF,,UNLOCATED,NO,NONE,
C1,,DIFFMLR,IO_L01P_3,UNUSED,,3,,,,,,,,,
C2,,DIFFSLR,IO_L02N_3,UNUSED,,3,,,,,,,,,
C3,,,GND,,,,,,,,,,,,
C4,,,PROG_B,,,,,,,,,,,,
C5,,DIFFMTB,IO_L32P_0,UNUSED,,0,,,,,,,,,
C6,,DIFFMTB,IO_L29P_0,UNUSED,,0,,,,,,,,,
C7,,DIFFSTB,IO_L27N_0,UNUSED,,0,,,,,,,,,
C8,,DIFFSTB,IO_L25N_0,UNUSED,,0,,,,,,,,,
C9,,DIFFSTB,IO_L24N_0/VREF_0,UNUSED,,0,,,,,,,,,
C10,,DIFFSTB,IO_L21N_0,UNUSED,,0,,,,,,,,,
C11,,DIFFSTB,IO_L19N_0/GCLK9,UNUSED,,0,,,,,,,,,
C12,,DIFFMTB,IO_L17P_0/GCLK4,UNUSED,,0,,,,,,,,,
C13,,DIFFSTB,IO_L15N_0,UNUSED,,0,,,,,,,,,
C14,,DIFFMTB,IO_L09P_0,UNUSED,,0,,,,,,,,,
C15,,DIFFSTB,IO_L11N_0,UNUSED,,0,,,,,,,,,
C16,,DIFFSTB,IO_L08N_0,UNUSED,,0,,,,,,,,,
C17,,DIFFSTB,IO_L07N_0,UNUSED,,0,,,,,,,,,
C18,,DIFFMTB,IO_L05P_0,UNUSED,,0,,,,,,,,,
C19,,DIFFSTB,IO_L02N_0,UNUSED,,0,,,,,,,,,
C20,,,GND,,,,,,,,,,,,
C21,,DIFFSLR,IO_L44N_1/A21,UNUSED,,1,,,,,,,,,
C22,,DIFFMLR,IO_L44P_1/A20,UNUSED,,1,,,,,,,,,
D1,,DIFFMLR,IO_L06P_3,UNUSED,,3,,,,,,,,,
D2,,DIFFSLR,IO_L01N_3,UNUSED,,3,,,,,,,,,
D3,,DIFFMLR,IO_L03P_3,UNUSED,,3,,,,,,,,,
D4,,,TMS,,,,,,,,,,,,
D5,,DIFFSTB,IO_L32N_0,UNUSED,,0,,,,,,,,,
D6,,DIFFSTB,IO_L29N_0,UNUSED,,0,,,,,,,,,
D7,,DIFFMTB,IO_L27P_0,UNUSED,,0,,,,,,,,,
D8,,DIFFSTB,IO_L30N_0,UNUSED,,0,,,,,,,,,
D9,,,GND,,,,,,,,,,,,
D10,,DIFFMTB,IO_L23P_0,UNUSED,,0,,,,,,,,,
D11,,DIFFMTB,IO_L20P_0/GCLK10,UNUSED,,0,,,,,,,,,
D12,,,VCCAUX,,,,,,,,2.5,,,,
D13,,DIFFMTB,IO_L15P_0,UNUSED,,0,,,,,,,,,
D14,,,GND,,,,,,,,,,,,
D15,,DIFFMTB,IO_L11P_0,UNUSED,,0,,,,,,,,,
D16,,DIFFMTB,IO_L08P_0,UNUSED,,0,,,,,,,,,
D17,,DIFFMTB,IO_L07P_0,UNUSED,,0,,,,,,,,,
D18,,DIFFSTB,IO_L01N_0,UNUSED,,0,,,,,,,,,
D19,,DIFFMTB,IO_L02P_0/VREF_0,UNUSED,,0,,,,,,,,,
D20,,DIFFSLR,IO_L42N_1,UNUSED,,1,,,,,,,,,
D21,,DIFFMLR,IO_L42P_1,UNUSED,,1,,,,,,,,,
D22,,DIFFSLR,IO_L41N_1,UNUSED,,1,,,,,,,,,
E1,,DIFFSLR,IO_L06N_3,UNUSED,,3,,,,,,,,,
E2,,,VCCO_3,,,3,,,,,any******,,,,
E3,,DIFFSLR,IO_L07N_3,UNUSED,,3,,,,,,,,,
E4,,DIFFSLR,IO_L03N_3,UNUSED,,3,,,,,,,,,
E5,,,VCCAUX,,,,,,,,2.5,,,,
E6,,DIFFSTB,IO_L35N_0,UNUSED,,0,,,,,,,,,
E7,,DIFFMTB,IO_L34P_0,UNUSED,,0,,,,,,,,,
E8,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
E9,,DIFFMTB,IO_L30P_0,UNUSED,,0,,,,,,,,,
